comment_text,author,votes,time,predicted_emotion,confidence
Muon choi thi mua ao sơ mi hay mua ao nao cung dc choi ta?,@hasang8291,0,6 ngày trước,Sadness,0.37435927987098694
"VŨ TRỤ TOP 1 SINH TỒN RỒI, CHƠI NÀY NHƯ ĐI NGHĨ DƯỠNG VỚI VŨ THOAI😂",@tranbaogiang3225,1,6 ngày trước,Sadness,0.43868860602378845
sinh tồn bên a thấy chán,@TuấnNgoc-f1e,0,10 ngày trước,Sadness,0.8934086561203003
Thấy cái mặt thằng đại vô dụng chơi hay lắm gì cũng vậy đu heo,@HồngPhướcTrần-t7e,0,11 ngày trước,Disgust,0.6922026872634888
Sặc nước luôn ông tưởng chà bá ăn con tép mà làm sạch con tép kakala,@ThaoNguyen-ur4si,0,11 ngày trước,Disgust,0.34565404057502747
tre thì cả đống.   mà cái đầu ở đâu ở dưới đất hok à.   làm cái liều nhìn muốn tạch luôn rồi 😂,@Hair-Stylist-Flower,0,13 ngày trước,Fear,0.3812297582626343
mày làm clip sinh tồn muốn hay và xác thuật thì nên mời những thành viên như vũ trụ hay những thành viên biết sinh tồn chứ mày cho mâý thằn con nít bít cái cuồn què gì mà sinh tồn nhìn chả ra sao,@VuLe-mp3lu,0,2 tuần trước,Disgust,0.6629706025123596
"hello anh, em fan anh đc 5 năm và cũng ở bình dương (cũ) mà vẫn chưa gặp anh hihi",@lephuong-h7j,1,2 tháng trước,Sadness,0.7826080322265625
GALA VU TRỤ WIN LUÔN MÌNH NGHĨ VẬY,@quangluanle6372,17,2 tháng trước,Sadness,0.34975606203079224
Mấy thằng ất ơ kênh lâm cho vào tấu hề chứ làm ăn gì. Ngoài thương ra thì toàn ông kễnh.,@ThangTran-tw6tn,0,2 tháng trước,Disgust,0.6740944981575012
dự án này đã có từ  năm trước rồi có mời mình mà núc đấy mình không đủ tuổi 😂😂😂😂,@ĐạtThành-s6r,1,2 tháng trước,Sadness,0.6134078502655029
Coá Ai Muốn anh lâm vlog làm thử thách xay nhà bằng gạch nữa ko nhỉ  khách mời 10 người người nhà 10 người tham gia xay nhà đầu tư thêm sơn lên gạch vẽ màu mè các thứ chấm điểm ai đẹp thì 1 sao ai ko đẹp thì 5 sao hay 10 sao 20 sao gì đấy kiểu đi ngược thời đại hài hài tí mong anh lâm vlog rép nhoa 💖💖💖,@Bitzy_Funki,1,2 tháng trước,Disgust,0.5776792168617249
" @khanhphan2k10 ông Thương tay ngang thôi , còn ông Vũ Trụ này chuyên gia r , có kênh sinh tồn từ mấy năm trc , sinh tồn tay không , sinh tồn 1v1 tay ko các kiểu , rừng biển sa mạc ji trải nghiệm hết r",@QuốcChíTrương-t7o,0,2 tháng trước,Disgust,0.38244569301605225
​ @NguyenVen-u8h ok nè❤❤❤,@bongvttv8928,0,2 tháng trước,Sadness,0.4917415380477905
mình mua áo lâu rồi mà mình chưa được tham gia,@SonTran-m8d4r,0,2 tháng trước,Sadness,0.885857880115509
"Để anh vũ trụ tham gia cùng anh thương đi anh, 2 trùm sinh tồn vào solo với nhau 😂",@ata_gaming2866,0,2 tháng trước,Sadness,0.4386032819747925
​ @khanhphan2k10   9 xác bạn,@binganhoa80,0,2 tháng trước,Sadness,0.7031018733978271
Anh ơi. Shop toàn hết hàng à. Mua áo khoác mà vào mấy lần rồi toàn hết,@LanVương.Mortal,0,2 tháng trước,Sadness,0.9177377820014954
Mình mà sinh tồn thì đẳng cấp luôn.,@thuykkim6584,0,2 tháng trước,Sadness,0.5820254683494568
vòng gala mình nghĩ sẽ là tay ko sinh tồn quá! khắc nghiệt người chơi buộc thể hiện kỹ năng,@kudenali9849,0,2 tháng trước,Disgust,0.35007330775260925
Làm clip mà cho mọi người đốt lửa ngay những bụi cây trong rừng thì quá ngu dốt nhé👍 Nên phổ biến lại anh em,@anhphamsim592,0,2 tháng trước,Disgust,0.6880629062652588
Sang nó sạo lắm,@최영일-k1t,0,2 tháng trước,Disgust,0.7178738713264465
Tập này với mình là sự ngu dốt của cả team nhé. Để đốt lửa giữa rừng thì chịu rồi😅,@anhphamsim592,0,2 tháng trước,Disgust,0.49684953689575195
